collection_id,full_identifier,title,region,dialect,languages,access_condition_name,essence_filename,essence_permalink,download_status,error_message,char_count,local_text_path,text
MMT1,MMT1-20181214LG,Lyle Gibson Tjakamarra,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20181214LG-TXT01.txt,https://catalog.paradisec.org.au/repository/MMT1/20181214LG/MMT1-20181214LG-TXT01.txt,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20181214LG,Lyle Gibson Tjakamarra,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20181214LG-Transcript.pdf,https://catalog.paradisec.org.au/repository/MMT1/20181214LG/MMT1-20181214LG-Transcript.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190108BTjalkuriny,Bernhard Tjalkuriny,,,"Arrernte, Eastern, English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190108BTjalkuriny-trs.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190108BTjalkuriny/MMT1-20190108BTjalkuriny-trs.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190109LL,Lucy Lester,,,"English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190109LL-03.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190109LL/MMT1-20190109LL-03.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190109LL,Lucy Lester,,,"English, Martu Wangka, Pintupi-Luritja, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190109LL-01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190109LL/MMT1-20190109LL-01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190116FM,Fred Myers,,,"Arrernte, Eastern, English, Martu Wangka, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190116FM-01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190116FM/MMT1-20190116FM-01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-04.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-04.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-05.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-05.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-08.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-08.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-06.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-06.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-07.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-07.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190415Balgo,"Patrick Jupiter Smith & Marie Mudgedell, Balgo WA",,,"English, Kukatja, Martu Wangka, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190415Balgo-03.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190415Balgo/MMT1-20190415Balgo-03.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190417HT,"Helicopter Tjungarrai & Patrick Smith at Balgo, WA",,,"English, Kukatja, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190417HT-01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190417HT/MMT1-20190417HT-01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190417HT,"Helicopter Tjungarrai & Patrick Smith at Balgo, WA",,,"English, Kukatja, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190417HT-02_16b.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190417HT/MMT1-20190417HT-02_16b.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190417HT,"Helicopter Tjungarrai & Patrick Smith at Balgo, WA",,,"English, Kukatja, Pintupi-Luritja, Warlpiri, Walmajarri",Open (subject to agreeing to PDSC access conditions),MMT1-20190417HT-02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190417HT/MMT1-20190417HT-02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190426MS,"Marina Strocchi, at Alice Springs",,,"English, Pintupi-Luritja",Open (subject to agreeing to PDSC access conditions),MMT1-20190426MS-01_16b.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190426MS/MMT1-20190426MS-01_16b.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190717Parnngurr,"Muuki Taylor,  Nyari-nyari Simpson at Parnngurr, WA",Parnngarr,,"English, Martu Wangka",Open (subject to agreeing to PDSC access conditions),MMT1-20190717Parnngurr-txt_NS03.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190717Parnngurr/MMT1-20190717Parnngurr-txt_NS03.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190717Parnngurr,"Muuki Taylor,  Nyari-nyari Simpson at Parnngurr, WA",Parnngarr,,"English, Martu Wangka",Open (subject to agreeing to PDSC access conditions),MMT1-20190717Parnngurr-txt_NS04.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190717Parnngurr/MMT1-20190717Parnngurr-txt_NS04.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190717Parnngurr,"Muuki Taylor,  Nyari-nyari Simpson at Parnngurr, WA",Parnngarr,,"English, Martu Wangka",Open (subject to agreeing to PDSC access conditions),MMT1-20190717Parnngurr-txt_NS01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190717Parnngurr/MMT1-20190717Parnngurr-txt_NS01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190717Parnngurr,"Muuki Taylor,  Nyari-nyari Simpson at Parnngurr, WA",Parnngarr,,"English, Martu Wangka",Open (subject to agreeing to PDSC access conditions),MMT1-20190717Parnngurr-txt_NS02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190717Parnngurr/MMT1-20190717Parnngurr-txt_NS02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190721CC,Charlie Coppin,,,"Martu Wangka, Nyangumarta",Open (subject to agreeing to PDSC access conditions),MMT1-20190721CC-transcript.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190721CC/MMT1-20190721CC-transcript.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190723BH,Barbara Hale,,,"English, Martu Wangka, Nyangumarta",Open (subject to agreeing to PDSC access conditions),MMT1-20190723BH-02txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190723BH/MMT1-20190723BH-02txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190723BH,Barbara Hale,,,"English, Martu Wangka, Nyangumarta",Open (subject to agreeing to PDSC access conditions),MMT1-20190723BH-01txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190723BH/MMT1-20190723BH-01txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190929a,Maime Butler,,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20190929a-02txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190929a/MMT1-20190929a-02txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190929a,Maime Butler,,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20190929a-01txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190929a/MMT1-20190929a-01txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190929a,Maime Butler,,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20190929a-text.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190929a/MMT1-20190929a-text.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190929bTM,Thomas Murray,,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20190929bTM-txt01.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190929bTM/MMT1-20190929bTM-txt01.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190929bTM,Thomas Murray,,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20190929bTM-txt02.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190929bTM/MMT1-20190929bTM-txt02.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190930RW,Robert Woods,"Jamieson ((Mantu Maru), WA",,"English, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190930RW-text_full.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190930RW/MMT1-20190930RW-text_full.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20190930RW,Robert Woods,"Jamieson ((Mantu Maru), WA",,"English, Pitjantjatjara",Open (subject to agreeing to PDSC access conditions),MMT1-20190930RW-01txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20190930RW/MMT1-20190930RW-01txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20191002GC,Glen Cooke,Wannan,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20191002GC-02txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20191002GC/MMT1-20191002GC-02txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20191002GC,Glen Cooke,Wannan,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20191002GC-01txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20191002GC/MMT1-20191002GC-01txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20191002GC,Glen Cooke,Wannan,,"English, Ngaanyatjarra",Open (subject to agreeing to PDSC access conditions),MMT1-20191002GC-03txt.pdf,https://catalog.paradisec.org.au/repository/MMT1/20191002GC/MMT1-20191002GC-03txt.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20191003BN,Bernhard Newberry,Warakurna,,Ngaanyatjarra,Closed (subject to the access condition details),MMT1-20191003BN-MD.txt,https://catalog.paradisec.org.au/repository/MMT1/20191003BN/MMT1-20191003BN-MD.txt,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
MMT1,MMT1-20210726BH,Bill Yidumduma Harney sings,,,Multiple languages,Open (subject to agreeing to PDSC access conditions),MMT1-20210726BH-fieldnotes.pdf,https://catalog.paradisec.org.au/repository/MMT1/20210726BH/MMT1-20210726BH-fieldnotes.pdf,error,Received HTML instead of file content (likely access denied) - Content-Type: text/html,0,,
