item,pulse_strength,tempo,tonal_entropy,harmonic_share,centroid,flatness,rms_cv,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
DD1-458,0.29205561790378776,52.734375,3.3856289386749268,0.6203203797340393,1508.9201549037227,0.005080274771898985,0.7353211641311646,-387.3971252441406,104.43051147460938,13.889204978942871,52.34245681762695,15.638226509094238,-5.332631587982178,6.4657511711120605,9.445972442626953,-8.136401176452637,8.439002990722656,-9.80624008178711,4.39168643951416,-3.7613372802734375
DD2-20150121,0.20044506171779772,112.34714673913044,3.459022045135498,0.4654555022716522,2853.1499137129294,0.015290750190615654,1.2121058702468872,-386.9207763671875,75.02600860595703,34.795135498046875,18.456459045410156,-1.6581321954727173,21.233932495117188,-10.023900985717773,3.2256486415863037,-8.120441436767578,13.556453704833984,-10.055336952209473,-5.425456523895264,-4.081709861755371
DE1-009,0.2858406450669228,258.3984375,3.373198986053467,0.32462799549102783,3729.4048795248614,0.17754755914211273,1.2968640327453613,-272.90289306640625,43.61838150024414,-2.3439981937408447,2.377362012863159,-5.642144203186035,7.102365016937256,-12.460044860839844,-1.8450525999069214,-11.74609375,1.039708137512207,-4.472148895263672,3.1978979110717773,-6.077494144439697
DG1-GA1,0.5858950332767131,234.90767045454547,3.0614540576934814,0.6951512694358826,1141.8233246161376,0.001220297534018755,0.2032729983329773,-289.75634765625,150.45269775390625,-12.358576774597168,13.783842086791992,-3.5988306999206543,-4.354793071746826,-15.548979759216309,-0.5973479747772217,-18.116764068603516,-1.8767735958099365,-12.60549545288086,-7.221470355987549,-10.195713996887207
DG1-GB16,0.28544062915745483,73.828125,3.117337703704834,0.6617361903190613,889.4414915963398,0.0003086643700953573,0.10200535506010056,-286.9859313964844,198.67283630371094,-16.767860412597656,-0.4475458562374115,-11.720067977905273,-12.446107864379883,-6.060390472412109,-16.530916213989258,-15.094956398010254,0.31029045581817627,-5.4186224937438965,2.326228618621826,-6.28206729888916
DG1-LOM027307,0.5849799488951599,172.265625,2.712308883666992,0.4294223487377167,1527.6357486903212,0.004011115059256554,0.4204254150390625,-253.3270721435547,124.45974731445312,-10.876039505004883,39.40158462524414,-5.971451282501221,3.06514573097229,-20.066444396972656,-11.130467414855957,-19.907901763916016,-10.649867057800293,-11.013303756713867,-2.6463277339935303,-8.038060188293457
DG3-026,0.37218322945107835,103.359375,3.130275249481201,0.42136335372924805,1605.6143078478983,0.004460071679204702,0.6198087930679321,-245.50051879882812,123.47064971923828,-1.4175955057144165,21.845829010009766,-6.012186050415039,3.4666244983673096,-8.953218460083008,-7.650157928466797,2.642352342605591,6.030837535858154,2.413813352584839,4.993226051330566,-3.3721256256103516
DG4-F860910,0.6383094806014203,135.99917763157896,2.4493234157562256,0.3373714089393616,2196.7637442243094,0.016472257673740387,0.48904910683631897,-257.41217041015625,97.80146789550781,-55.12729263305664,1.1378623247146606,-8.132333755493164,-5.283406734466553,-12.683735847473145,-7.532252788543701,-11.421876907348633,7.934680461883545,-5.035904407501221,-3.708158254623413,-7.403046607971191
DK1-008,0.2880410232381512,234.90767045454547,3.2042341232299805,0.3014877736568451,2301.663789097095,0.037103839218616486,0.9620750546455383,-353.19586181640625,91.35103607177734,31.34355926513672,32.25932312011719,0.33122578263282776,4.877651691436768,-26.286340713500977,-10.659676551818848,-7.3190999031066895,-2.3471596240997314,-2.375603675842285,-6.944469451904297,-4.43052864074707
DLGP1-003,0.2709025911989442,234.90767045454547,3.2906854152679443,0.340933233499527,1827.6886175114546,0.007046714425086975,0.9106114506721497,-381.0325622558594,105.35501098632812,1.8792818784713745,37.325618743896484,19.180692672729492,-6.314743518829346,4.4272918701171875,0.40038979053497314,-5.5048747062683105,8.060970306396484,4.111108779907227,6.04484748840332,2.6018502712249756
DLGP1-038,0.22689990971576712,66.25600961538461,3.2491519451141357,0.6924774050712585,1532.9165792759175,0.015797076746821404,0.7014094591140747,-350.7857360839844,131.87229919433594,-43.035823822021484,38.48178482055664,9.20228385925293,0.7093334794044495,10.649616241455078,-8.796443939208984,-9.959583282470703,-8.277824401855469,-10.740277290344238,-18.35376739501953,-14.547444343566895
EAG1-S29,0.20452201586648242,234.90767045454547,2.9823880195617676,0.47298893332481384,1557.983887394513,0.008728991262614727,0.9856836795806885,-387.9516906738281,106.97887420654297,21.527809143066406,34.296607971191406,2.908897638320923,-4.970300197601318,2.1448352336883545,-2.081010103225708,1.20159912109375,-0.47694429755210876,-3.0088343620300293,-1.440276026725769,-2.280841112136841
EF1-002,0.2324827985136889,287.109375,2.9632530212402344,0.7596035003662109,2088.683703333807,0.008180932141840458,0.4513268768787384,-236.5824432373047,97.40380096435547,-47.41725540161133,20.30051612854004,-35.60322570800781,-6.12965202331543,-21.833595275878906,-3.7078802585601807,-25.782819747924805,-3.12972354888916,-9.316960334777832,-2.6083984375,-4.557445049285889
EF1-005,0.28817446327816365,215.33203125,3.1124143600463867,0.496256560087204,2643.3410214063642,0.04300898686051369,0.9974314570426941,-299.4129333496094,78.97077178955078,5.080230712890625,19.150768280029297,-10.133706092834473,13.682361602783203,-13.361689567565918,3.475271224975586,-8.32547664642334,-3.640748977661133,0.10672604292631149,3.5370523929595947,-4.684485912322998
FM1-20070501,0.2232445128220974,54.978390957446805,3.2184853553771973,0.3379251956939697,1739.0443409091433,0.01952783763408661,0.9152952432632446,-313.9478454589844,129.61209106445312,-5.575347900390625,19.282089233398438,-2.7959773540496826,-8.178342819213867,1.82382071018219,-3.7108805179595947,-1.6254103183746338,7.220246315002441,-0.48143085837364197,1.1083028316497803,-5.567923069000244
GAC1-07,0.5268264622596773,234.90767045454547,2.5920751094818115,0.4772759974002838,2547.1839938704097,0.025978734716773033,0.4174460768699646,-197.25379943847656,85.05658721923828,-21.508419036865234,9.054614067077637,-0.5229430198669434,5.5136799812316895,0.3970580995082855,5.49383544921875,-7.8958516120910645,4.625011920928955,-7.444672584533691,-4.927850723266602,-11.81758975982666
GH2-lev_db_070719,0.2750938697977244,287.109375,3.301152467727661,0.1988026648759842,2187.1193482105614,0.03658420965075493,1.3788176774978638,-432.5693054199219,77.62840270996094,-11.223219871520996,15.32777214050293,5.217789173126221,-5.1882710456848145,-11.04361343383789,-1.0723109245300293,-4.516230583190918,0.9792248606681824,-5.643570423126221,-4.761807441711426,-4.0730366706848145
GH3-abz_20160706_seeds_demo,0.27722600839595024,234.90767045454547,3.4481360912323,0.3279514014720917,1756.0362764528857,0.01390177570283413,0.9947793483734131,-380.1002502441406,118.43840789794922,3.203913450241089,0.9601736664772034,18.4859619140625,-3.802490234375,-10.091561317443848,-4.337730884552002,-9.961048126220703,-3.20131516456604,-5.904353618621826,-3.838897943496704,-2.7462594509124756
GW1-76074,0.3043621160172548,287.109375,3.3564608097076416,0.47046002745628357,2558.971151995203,0.043299946933984756,1.1407196521759033,-431.9735107421875,85.93077087402344,-1.0914534330368042,19.702917098999023,6.94482421875,-4.373464584350586,0.3942616879940033,-3.3899037837982178,-5.22451114654541,1.5691914558410645,-8.006482124328613,-4.68517541885376,-4.077944278717041
HDF1-FY14,0.13083790256335884,92.28515625,2.9886608123779297,0.5037150382995605,2653.6794939715,0.050466492772102356,1.1070433855056763,-395.9837646484375,64.77346801757812,21.040075302124023,16.149538040161133,-8.235109329223633,5.68034029006958,-4.376138687133789,-1.2227877378463745,-0.7666990756988525,1.1875816583633423,-7.351046085357666,-2.2463650703430176,-0.7435784339904785
HDF1-HB14,0.28297206421205057,86.1328125,3.4527320861816406,0.17532585561275482,2326.1457094021375,0.027784276753664017,0.8216358423233032,-304.489501953125,98.88729858398438,-20.01763153076172,33.38882064819336,-28.64727020263672,0.6435398459434509,-6.029825687408447,-10.849774360656738,-11.311290740966797,2.3914082050323486,-4.526384353637695,2.131516695022583,-5.563629627227783
IB1-002,0.23703029286755165,107.666015625,3.3445444107055664,0.6344103813171387,664.6396720841143,0.0001650740159675479,0.42879518866539,-345.5198974609375,225.24078369140625,34.912899017333984,-22.143360137939453,-13.821639060974121,-2.2347683906555176,-4.440454006195068,-20.313377380371094,-10.238348007202148,-6.234649658203125,-14.226848602294922,-7.540555953979492,-5.826165199279785
IG1-003,0.26073849897636664,287.109375,3.166304111480713,0.287095308303833,2007.757231249153,0.014821888878941536,1.209297776222229,-295.8203430175781,104.9815902709961,-24.039894104003906,34.56114959716797,3.5173349380493164,3.93314528465271,-12.088497161865234,2.5355496406555176,-0.5439631342887878,-3.2334697246551514,-5.842289447784424,3.814770221710205,-3.786896228790283
IG5-003,0.2773624784654038,63.02400914634146,2.5865366458892822,0.35945242643356323,1312.1246920240853,0.005237608216702938,1.144755482673645,-343.0686340332031,152.44248962402344,-13.394200325012207,4.302085876464844,-4.730570316314697,-1.2153733968734741,-7.555193901062012,-13.70335865020752,-1.6399171352386475,-1.9367989301681519,-10.851763725280762,-4.613341808319092,-5.634688854217529
IG6-005,0.2774090389175431,184.5703125,3.2578237056732178,0.5288918018341064,2138.219092997378,0.03230354189872742,1.0791897773742676,-282.2117919921875,101.48821258544922,-5.992786884307861,26.923385620117188,0.42400071024894714,1.1198952198028564,-8.973942756652832,-0.8024687767028809,-7.229738712310791,-3.6686813831329346,-10.021681785583496,-1.5244477987289429,-3.2585957050323486
